Date,Time,Temperature,Humidity
2019/12/11,14:25:16,37.0,9.0
2019/12/11,14:54:02,39.0,8.0
2019/12/11,15:07:19,37.0,8.0
2019/12/11,15:10:36,39.0,7.0
2019/12/11,16:01:04,43.0,5.0
2019/12/11,16:45:44,41.0,6.0
2019/12/11,16:46:31,41.0,7.0
2019/12/11,16:46:56,41.0,6.0
2019/12/11,16:59:15,37.0,8.0
2019/12/11,17:12:56,37.0,9.0
2019/12/11,17:22:57,33.0,10.0
2019/12/11,17:25:31,33.0,11.0
2019/12/11,17:39:36,28.0,14.0
2019/12/11,17:46:28,28.0,14.0
2019/12/11,17:50:59,29.0,13.0
2019/12/11,18:13:43,45.0,4.0
2019/12/11,18:33:24,37.0,8.0
2019/12/11,19:04:59,37.0,9.0
2019/12/11,19:05:24,37.0,8.0
2019/12/11,19:06:49,45.0,4.0
2019/13/11,10:45:09,17.0,20.0
2019/13/11,11:17:32,43.0,5.0
2019/13/11,11:45:41,31.0,11.0
2019/13/11,13:33:02,24.0,18.0
